I0317 11:12:08.203159     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203160     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203162     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203163     274 libfabric_common.cpp:81] Found device - domain: vethc924435f, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203164     274 libfabric_common.cpp:81] Found device - domain: vethe29b4b2e, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203165     274 libfabric_common.cpp:81] Found device - domain: veth4e77d7d4, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203167     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203262     274 libfabric_common.cpp:97] provider=sockets, device=ens22np0
I0317 11:12:08.203280     274 libfabric_common.cpp:97] provider=sockets, device=ens12np0
I0317 11:12:08.203280     274 libfabric_common.cpp:97] provider=sockets, device=ens21np0
I0317 11:12:08.203281     274 libfabric_common.cpp:97] provider=sockets, device=ens11np0
I0317 11:12:08.203282     274 libfabric_common.cpp:97] provider=sockets, device=ens42np0
I0317 11:12:08.203282     274 libfabric_common.cpp:97] provider=sockets, device=ens32np0
I0317 11:12:08.203283     274 libfabric_common.cpp:97] provider=sockets, device=ens41np0
I0317 11:12:08.203284     274 libfabric_common.cpp:97] provider=sockets, device=ens31np0
I0317 11:12:08.203284     274 libfabric_common.cpp:97] provider=sockets, device=ens22np0
I0317 11:12:08.203285     274 libfabric_common.cpp:97] provider=sockets, device=ens12np0
I0317 11:12:08.203285     274 libfabric_common.cpp:97] provider=sockets, device=ens21np0
